code,question,options
G_encuestador, Individuo  - G_encuestador,
G_encuestador_otro, Individuo  - G_encuestador_otro,
G_consentimiento_leido, Individuo  - G_consentimiento_leido,Y = Sí|N = No
G_consentimiento_aceptado, Individuo  - G_consentimiento_aceptado,Y = Sí|N = No
G_camara_encendida, Individuo  - G_camara_encendida,Y = Sí|N = No
G_grabar_entrevista, Individuo  - G_grabar_entrevista,Y = Sí|N = No
G_fecha_encuesta, Individuo  - G_fecha_encuesta,
G_nombre, Individuo  - G_nombre,
G_apellido_paterno, Individuo  - G_apellido_paterno,
"G_apellido_,aterno"," Individuo  - G_apellido_,aterno",
G_folio, Individuo  - G_folio,
G_sexo, Individuo  - G_sexo,
G_direccion, Individuo  - G_direccion,
G_uni_campus, Individuo  -  ¿Cúal es tu campus actual?,A1 = UNAM CIUDAD UNIVERSITARIA|A2 = UNAM CAMPUS ZARAGOZA|A3 = IBEROAMERICANA SANTA FE|A4 = UNIVERSIDAD PANAMERICANA|A5 = UNIVERSIDAD DE VALLE DE MÉXICO|A6 = UNIVERSIDAD ANÁHUAC
G_uni_campus_otro, Individuo  -  ¿Cúal es tu campus actual? Otro,
G_uni_carrera_campus_otro, Individuo  - ¿Estudias en otro campus?,
G_uni_carrera_CU, Individuo  - Estudias en CU UNAM. ¿Cúal es tu carrera?,"A2 = Actuaría|A3 = Arqitectura|A4 = Arqitectura del Paisaje|A5 = Ciencias de la Computación|A6 = Diseño Industrial|A7 = Física|A8 = Ingeniería Civil|A9 = Ingeniería de Minas y Metalurgia|A10 = Ingeniería Eléctrica Electrónica|A11 = Ingeniería en Computación|A12 = Ingeniería Geofísica|A13 = Ingeniería Geológica|A14 = Ingeniería Industrial|A15 = Ingeniería Mecánica|A16 = Ingeniería Mecánica Eléctrica|A17 = Ingeniería Petrolera|A18 = Ingeniería Química|A 19 = Ingeniería Química Metalúrgica|A20 = Ingeniería Topográfica y Geodésica|A21 = Matemáticas|A22 = Urbanismo|A23 = Biología|A24 = Cirujano Dentista|A25 = Medicina Veterinaria y Zootecnista|A26 = Médico Cirujano|A27 = Psicología|A28 = Química|A29 = Química de Alimentos|A30 = Química Farmacéutico Biológica|A31 = Administración|A32 = Ciencias de la Comunicación (Periodismo)|A33 = Ciencias Políticas y Administración Pública|A34 = Contaduría|A35 = Derecho|A36 = Economía|A37 = Geografía|A38 = Relaciones Internacionales|A39 = Sociología|A40 = Estudios Latinoamericanos|A41 = Filosofía|A42 = Historia|A43 = Lengua y Literaturas Hispánicas|A44 = Lengua y Literaturas Modernas, Alemanas|A45 = Lengua y Literaturas Modernas, Francesas|A46 = Lengua y Literaturas Modernas, Inglesas|A47 = Lengua y Literaturas Modernas, Italianas|A48 = Letras Clásicas|A49 = Literatura Dramática y Teatro|A50 = Administración|A51 = Ciencias de la Comunicación|A52 = Ciencias Políticas y Administración Pública|A53 = Contaduría|A54 = Derecho|A55 = Economía|A56 = Geografía|A57 = Relaciones Internacionales|A58 = Sociología|A59 = Trabajo social|A60 = Pedagogía"
G_uni_carrera_CU_otro, Individuo  - Estudias en CU UNAM Otro. ¿Cúal es tu carrera?,
G_uni_carrera_Zaragoza, Individuo  - Estudias en Zaragoza. ¿Cúal es tu carrera?,A2 = Biología|A3 = Cirugano Dentista|A4 = Desarrollo Comunitario para el Envejecimiento|A5 = Enfermería|A6 = Ingenería Química|A7 = Médico Cirujano|A8 = Nutriología|A9 = Psicología|A10 = Química Farmacéutico Biológica
G_uni_carrera_Ibero, Individuo  - Estudias en Ibero. ¿Cúal es tu carrera?,A2 = Arquitectura|A3 = Ingenería Civil|A4 = Sustentabilidad Ambiental|A5 = Diseño Gráfico|A6 = Diseño de Indumentaria y Moda|A7 = Diseño Industrial|A8 = Diseño Interactivo|A9 = Diseño Textil|A10 = Actuaría|A11 = Ingeniería Física|A12 = Ingeniería de Alimentos|A13 = Ingeniería Química|A14 = Ingeniería Industrial|A15 = Ingeniería Biomédica|A16 = Ingeniería en Tecnología de Cómputo y Telecomunicaciones|A17 = Ingeniería Mecánica y Eléctrica|A18 = Ingeniería Mecatrónica y Producción|A19 = Ciencias Políticas y Administración Pública|A20 = Derecho|A21 = Economía|A22 = Administración de Empresas|A23 = Administración de la Hospitalidad|A24 = Administración de Negocios Internacionales|A25 = Contaduría y Gestión Empresarial|A26 = Finanzas|A27 = Mercadotecnia|A28 = Relaciones Internacionales|A29 = Psicología|A30 = Nutrición y Ciencia de los Alimentos|A31 = Ciencias Teológicas|A32 = Comunicación|A33 = Filosofía|A34 = Historia|A35 = Historia del Arte|A36 = Literatura Latinoamericana|A37 = Pedagogía
G_uni_carrera_otrauni," Individuo  - Estudias en otra universidad (No en UNAM CU, no Zaragoza, no Ibero). ¿Cúal es tu carrera?",A1 = Psicología
G_uni_carrera_otrauni_otro," Individuo  - Estudias en otra universidad (No en UNAM CU, no Zaragoza, no Ibero). ¿Cúal es tu carrera? Otro",
G_uni_sem, Individuo  -  ¿En qué semestre de la carrera estas actualmente?,A2 = 1|A3 = 2|A4 = 3|A5 = 4|A6 = 5|A7 = 6|A8 = 7|A9 = 8|A10 = 9|A11 = 10|A12 = 11|A13 = 12
G_uni_cuenta, Individuo  -  Número de cuenta,
G_nacimiento, Individuo  -  Fecha de nacimiento,
G_estado_civ, Individuo  -  ¿Cúal es tu estado civíl?,A2 = Soltero/a|A3 = casado/a|A4 = Unión libre|A5 = Viudo/a|A6 = Divorciado/a
G_estado_civ_otro, Individuo  -  ¿Cúal es tu estado civíl? Otro,
G_uni_promedio, Individuo  -  ¿Cúal es tu promedio del semestre anterior?,
G_telefono, Individuo  -  ¿Tienes teléfono celular inteligente / smarthphone?,Y = Sí|N = No
G_telefono_num, Individuo  -  ¿Cúal es tu número?,
G_uni_entrada, Individuo  -  ¿Cuando entraste a la carrera?,A1 = Antes de que comenzara la pandemia|A2 = Durante la pandemia
G_salud_preuni, Individuo  -  ¿Cómo consideras que era tu salud antes de entrar a la carrera? ,A2 = Muy mala|A3 = Mala|A4 = Regular|A5 = Buena|A6 = Muy buena
G_salud_uni_sincovid, Individuo  -  ¿Cómo consideras que era tu salud durante la carrera (sin pandemia)? ,A2 = Muy mala|A3 = Mala|A4 = Regular|A5 = Buena|A6 = Muy buena
G_salud_uni_concovid, Individuo  -  ¿Cómo consideras que es tu salud durante la carrera (con pandemia)?  ,A2 = Muy mala|A3 = Mala|A4 = Regular|A5 = Buena|A6 = Muy buena
G_condición_preuni, Individuo  -  ¿Cómo consideras que era tu condición fisica antes de entrar a la carrera? ,A2 = Muy mala|A3 = Mala|A4 = Regular|A5 = Buena|A6 = Muy buena
G_condición_uni_sincovid, Individuo  -  ¿Cómo consideras que era tu condición fisica durante la carrera (sin pandemia)? ,A2 = Muy mala|A3 = Mala|A4 = Regular|A5 = Buena|A6 = Muy buena
G_condición_uni_concovid, Individuo  -  ¿Cómo consideras que es tu condición fisica durante la carrera (con pandemia)?  ,A2 = Muy mala|A3 = Mala|A4 = Regular|A5 = Buena|A6 = Muy buena
G_estrés_preuni, Individuo  -  ¿Cómo calificarías tu nivel de estrés antes de entrar a la carrera? ,A2 = Muy bajo|A3 = Bajo|A4 = Normal|A5 = Alto|A6 = Muy alto|A7 = No sé|A8 = Prefiero no responder
G_estrés_uni_sincovid, Individuo  -  ¿Cómo calificarías tu nivel de estrés durante la carrera (sin pandemia)? ,A2 = Muy bajo|A3 = Bajo|A4 = Normal|A5 = Alto|A6 = Muy alto|A7 = No sé|A8 = Prefiero no responder
G_estrés_uni_concovid, Individuo  -  ¿Cómo calificarías tu nivel de estres durante la carrera (con pandemia)?  ,A2 = Muy bajo|A3 = Bajo|A4 = Normal|A5 = Alto|A6 = Muy alto|A7 = No sé|A8 = Prefiero no responder
G_peso_rango_preuni, Individuo  -  ¿Cómo consideras que era tu peso antes de entrar a la carrera? ,A2 = Muy bajo|A3 = Bajo|A4 = Normal|A5 = Con sobrepeso|A6 = Obeso|A7 = No sé|A8 = Prefiero no responder
G_peso_rango_uni_sincovid, Individuo  -  ¿Cómo consideras que era tu peso durante la carrera (sin pandemia)? ,A2 = Muy bajo|A3 = Bajo|A4 = Normal|A5 = Con sobrepeso|A6 = Obeso|A7 = No sé|A8 = Prefiero no responder
G_peso_rango_uni_concovid, Individuo  -  ¿Cómo consideras que es tu peso durante la carrera (con pandemia)?  ,A2 = Muy bajo|A3 = Bajo|A4 = Normal|A5 = Con sobrepeso|A6 = Obeso|A7 = No sé|A8 = Prefiero no responder
G_obesidad_trat_nunca, Individuo  - Respecto a la obesidad/sobrepeso. ¿Has consultado o recibio tratamiento de un profesional de la salud al respecto?,Y = Sí|N = No
G_obesidad_trat_pasado, Individuo  - Respecto a la obesidad/sobrepeso. ¿Has consultado o recibio tratamiento de un profesional de la salud al respecto?,Y = Sí|N = No
G_obesidad_trat_actual, Individuo  - Respecto a la obesidad/sobrepeso. ¿Has consultado o recibio tratamiento de un profesional de la salud al respecto?,Y = Sí|N = No
G_obesidad_trat_nosé, Individuo  - Respecto a la obesidad/sobrepeso. ¿Has consultado o recibio tratamiento de un profesional de la salud al respecto?,Y = Sí|N = No
G_peso, Individuo  -  ¿Cuánto pesas?,
G_peso_cambio_porcovid," Individuo  -  Respecto al peso, ¿cómo ha cambiado debido a la pandemia?",A1 = Aumentó|A2 = Se mantuvo|A3 = Disminuyó|A4 = No sé
G_peso_cambio_poruni," Individuo  -  Respecto al peso, ¿cómo ha cambiado debido a entrar a la carrera?",A1 = Aumentó|A2 = Se mantuvo|A3 = Disminuyó|A4 = No sé
G_pesarse_ultimo, Individuo  -  ¿Cuándo te pesaste por última vez?,A2 = Los últimos 7 días|A3 = 1-2 semanas|A4 = 2 semanas - 1 mes|A5 = 1-3 meses|A6 = 3-6 meses|A7 = No sé|A8 = No quiero responder
G_pesarse_frecuencia, Individuo  -  ¿Cada cuánto tiempo te pesas?,A2 = Diario|A3 = 2-3 veces por semana|A4 = 1 vez a la semana|A5 = 2-3 veces al mes|A6 = 1 vez al mes|A7 = Cada 2-3 meses|A8 = Cada 6 meses|A9 = 1 vez por año|A10 = No me peso|A11 = No quiero responder
G_pesarse_frecu_otro, Individuo  -  ¿Cada cuánto tiempo te pesas? Otro,
G_peso_accion, Individuo  -  ¿Qué acciones te gustaría tomar respecto a tu peso?,A2 = Bajar de peso|A3 = Estoy contento con mi peso|A4 = Subir de peso|A5 = No sé|A6 = No quiero responder
G_estatura, Individuo  -  ¿Cuánto mides?,
G_IMCreport_sabe, Individuo  -  ¿Sabes cuál es tu Indice de Masa Corporal?,A2 = Sí|A3 = No|A4 = No se que es Índice de Masa Corporal
G_IMCreport_sabe_otro, Individuo  -  ¿Sabes cuál es tu Indice de Masa Corporal? Otro,
G_IMCreport_valor, Individuo  - Dijiste que sabes cuál es tu Indice de Masa Corporal. ¿Cúal es?,
G_dx_sobrepeso, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? Sobrepeso u obesidad,Y = Sí|N = No
G_dx_sobre_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Sobrepeso u obesidad,
G_dx_diabetes, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades?  Diabetes,Y = Sí|N = No
G_dx_diab_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Diabetes,
G_dx_prediabetes, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? Prediabetes,Y = Sí|N = No
G_dx_pred_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Prediabetes,
G_dx_sindmetabol, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? Síndrome metabólico,Y = Sí|N = No
G_dx_sinmet_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Síndrome metabólico,
G_dx_hipertension, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades?  Hipertensión,Y = Sí|N = No
G_dx_hiper_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Hipertensión,
G_dx_colesterol, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? Colesterol alto,Y = Sí|N = No
G_dx_col_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Colesterol alto,
G_dx_trigliceridos, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? Trastorno de atracón,Y = Sí|N = No
G_dx_trig_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Triglicéridos altos,
G_dx_cancer, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades?  Cáncer,Y = Sí|N = No
G_dx_canc_edad, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades? ¿Y a qué edad?: Cáncer,
G_dx_cardiovascular, Individuo  -  ¿A lo largo de tu vida te han diagnosticado con alguna de las siguientes enfermedades?  Algún problema cardiovascular,Y = Sí|N = No
