code,question,options
fecha_encuesta, Individuo  - fecha_encuesta,
folio, Individuo  - folio,
encuestador, Individuo  - encuestador,A02 = Shellye|A03 = Jorge|A04 = María del Carmen|A05 = Anel|A06 = Esperanza|A07 = Jairo|A08 = Carlos Eduardo|A09 = Arturo|A10 = Adrian|A11 = Eliana|A12 = Camila|A13 = Irisvet|A14 = Angel|A15 = Cristian|A16 = Georgina|A17 = Brenda|A18 = Erika|A19 = Mariana|A20 = Cynthia|A21 = Edgar Octavio|A22 = Paulina|A23 = Mayra Adriana
encuestador_otro, Individuo  - encuestador_otro,
edo_civil, Individuo  - edo_civil,
fecha_nacimiento, Individuo  - fecha_nacimiento,
hrs_ejercicio_pandemia, Individuo  - hrs_ejercicio_pandemia,
peso, Individuo  - peso,
promedio, Individuo  - promedio,
sexo, Individuo  - sexo,
talla, Individuo  - talla,
vive," Mamá  - Tu madre, ¿está viva?",Y = Sí|N = No
escolaridad," Mamá  - Tu madre, ¿cuál es/era la escolaridad máxima de tu abuela materna?",A89 = Ninguno|A2 = Primaria|A3 = Secundaria|A4 = Preparatoria|A5 = Licenciatura|A6 = Maestría|A7 = Doctorado
escolaridad_otra," Mamá  - Tu madre, ¿cuál es/era la escolaridad máxima de tu abuela materna?: Otra opción",
trabajo," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? ",1 = Actividades deportivas|18 = Artista|19 = Chofer|20 = Comerciante sector informal|2 = Comerciante sector formal|3 = Empresario|4 = Comercio Virtual|5 = Atención a clientes|6 = Administrativo|7 = Gubernamental administrativo|8 = Empleado gubernamental|9 = Operador de maquinaria móvil|10 = Personal técnico|11 = Área educativa|12 = Profesionista independiente|13 = Seguridad:16|14 = Área de la salud|15 = Construcción|16 = Fábrica|17 = Agricultura|21 = No trabaja/ trabajaba
trab_deporte," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Actividades deportivas",A2 = Entrenador de gimnasio|A3 = Profesor de clases deportivas
trab_dep_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Actividades deportivas: Otra opción",
trab_artes," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Artista",A2 = Fotógrafo|A3 = Pintor|A4 = Músico|A5 = Cantante
trab_art_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Artista: Otra opción",
trab_chofer," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Chofer",A2 = Taxista|A3 = Uber|A4 = Microbús|A5 = Camiones
trab_chofer_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Chofer: Otra opción",
trab_comerciof," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Comerciante sector formal",A2 = Vendedor de comida|A3 = Periódicos|A4 = Flores y productos en un puesto no establecido
trab_comf_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Comerciante sector formal: Otra opción",
trab_empresario," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Empresario",A2 = Dueño|A3 = Director o gerente
trab_empre_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Empresario: Otra opción",
trab_ecommerce," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Comercio Virtual","A2 = Vendedor de productos por internet (mercado pago, amazon, instagram, etc.)"
trab_eco_otro," Mamá  - Tu madre, ¿a qué se dedica/dedicaba principalmente? Comercio Virtual: Otra opción",
